20230105	18:39:39	b66c4233-3bef-4938-b593-b8b705774782	GET	undefined	/refresh
20230105	18:39:40	485d1143-f76b-46b7-9fac-de81616be742	GET	undefined	/refresh
20230105	18:39:41	295f2faf-b047-4b61-8651-aa16262fff77	GET	undefined	/refresh
20230105	18:39:43	0662a954-075c-4f45-84f3-0f97f63855d0	GET	undefined	/refresh
20230105	23:38:30	fcaab7a2-9f62-482e-b20a-e6094866ff5d	POST	undefined	/auth
20230105	23:39:21	cd8363cb-6bdc-41bd-8132-8b5710a8e49d	GET	undefined	/logout
20230105	23:39:24	bf5041d5-ffef-441c-ba44-66a2de7d95c5	GET	undefined	/logout
20230105	23:39:42	daf3e102-53e6-458e-a3de-ea2a7e7096aa	GET	undefined	/refresh
20230105	23:39:45	d84477a2-c805-4af2-97a3-8976688f4d09	GET	undefined	/refresh
20230105	23:40:25	286ec8c8-54a5-4f0c-b990-429a47a80afc	POST	undefined	/auth
20230106	00:05:10	0a060e42-137c-48d1-81fd-15fb7017820c	POST	undefined	/auth
20230106	00:05:28	16a6908d-40f0-4399-ad12-6e4e2b6054f1	GET	undefined	/refresh
20230106	00:05:29	bcea3a1e-fb20-4bc9-b594-153c24f73ace	GET	undefined	/refresh
20230106	00:05:35	e8d5cc5b-e5a9-4c9a-88c4-f2fcfc08e8c2	GET	undefined	/logout
20230106	00:05:37	93f55de1-3cca-4647-a799-fc1f1b3bf924	GET	undefined	/logout
20230106	20:30:41	ec10db10-cb66-44de-b96b-1fb7197543eb	POST	undefined	/auth
20230106	20:30:48	d65b8619-692d-471b-8e78-998cfaa770d2	POST	undefined	/auth
20230106	20:30:58	ef7076f1-4eca-47ff-812f-411e982bfdc3	POST	undefined	/auth
20230106	20:30:59	16eb9a2f-424f-4811-a709-7b3c22139f3d	POST	undefined	/auth
20230106	20:31:27	cd5235c6-173d-4fd9-8f9b-f0b5f9c0d8d3	POST	undefined	/auth
20230106	20:31:48	858b9c77-c4f7-43c3-b9cf-176efb44e888	GET	undefined	/employees
20230106	20:31:54	e962a403-a262-4bc6-a748-9193e04494ff	POST	undefined	/employees
